fold,isic_auroc,ham_auroc,fold_time_sec
0,0.9589451551437378,0.7864320278167725,99.64452981948853
1,0.9596021175384521,0.7710297107696533,104.67511034011841
2,0.8737651109695435,0.7841275334358215,118.0844373703003
mean±std,0.9308 ± 0.0403,0.7805 ± 0.0068,
