fold,isic_auroc,ham_auroc,fold_time_sec
0,0.957638144493103,0.6720017194747925,103.05574297904968
1,0.9417438507080078,0.7294231653213501,103.13434481620789
2,0.9538227319717407,0.6819181442260742,96.28335618972778
mean±std,0.9511 ± 0.0068,0.6944 ± 0.0251,
