,artifact,coef,p_value
0,intercept,-1.2368976848759456,2.965817316762181e-23
1,dark_corner,0.23978593322860134,0.03644393385191765
2,hair,-0.3161331671208773,0.002081135247111503
3,gel_border,-0.5274829740663226,0.000585536448169763
4,gel_bubble,-0.10941336600226795,0.29655011941567067
5,ruler,0.530689867111479,2.34825932014588e-05
6,ink,-0.6730341047941714,4.440622956831903e-05
7,patches,-2.9215853800067197,5.2424400318741485e-05
