fold,isic_auroc,ham_auroc,fold_time_sec
0,0.9318860769271851,0.7080917954444885,95.8850450515747
1,0.9531021118164062,0.6387511491775513,96.04513502120972
2,0.9339712858200073,0.699099063873291,102.58712649345398
mean±std,0.9397 ± 0.0095,0.6820 ± 0.0308,
